seed,ll,error,runtime_s,converged,n_iter_run,warnings,model,fold_id
44,-1257670.509214942,,13.643340587615967,True,21,[],30m_hmm4,65
45,-1257668.0580707595,,13.898418188095093,True,21,[],30m_hmm4,65
46,-1635875.1399643144,,22.68408179283142,True,49,[],30m_hmm4,65
43,-1257750.3661656547,,22.848353624343872,True,50,[],30m_hmm4,65
44,-1271314.4853819364,,17.3175847530365,True,20,[],30m_hmm4,66
45,-1653716.7241418234,,31.393002033233643,True,52,[],30m_hmm4,66
43,-1653716.719893408,,32.104262590408325,True,57,[],30m_hmm4,66
46,-1271360.4745903176,,34.0732204914093,True,45,[],30m_hmm4,66
42,-1279507.924902631,,35.28692960739136,True,51,[],30m_hmm4,66
44,-1284832.6901323677,,13.308525562286377,True,21,[],30m_hmm4,67
45,-1284865.8495352035,,14.000296115875244,True,19,[],30m_hmm4,67
43,-1284849.0053267032,,14.185477256774902,True,20,[],30m_hmm4,67
42,-1671341.4789691186,,23.769624710083008,True,50,[],30m_hmm4,67
46,-1671341.475967404,,27.827850103378296,True,65,[],30m_hmm4,67
45,-1299419.6586150813,,14.048921346664429,True,19,[],30m_hmm4,68
44,-1299450.9380369908,,15.491173505783081,True,18,[],30m_hmm4,68
42,-1299476.5196417917,,25.727609395980835,True,43,[],30m_hmm4,68
46,-1691699.9829142024,,26.345934867858887,True,46,[],30m_hmm4,68
43,-1306102.576234979,,31.676944255828857,True,57,[],30m_hmm4,68
43,-1313944.5095859873,,13.081286668777466,True,19,[],30m_hmm4,69
44,-1313953.0465046584,,14.099590539932251,True,19,[],30m_hmm4,69
42,-1313900.4777929978,,14.858468770980835,True,23,[],30m_hmm4,69
45,-1313978.5965864337,,24.30340027809143,True,50,[],30m_hmm4,69
46,-1712809.7643592253,,28.23708963394165,True,65,[],30m_hmm4,69
42,-1330036.2041125249,,13.595893621444702,True,17,[],30m_hmm4,70
43,-1330022.6316135472,,14.415577173233032,True,19,[],30m_hmm4,70
44,-1330054.0342898306,,15.153650760650635,True,19,[],30m_hmm4,70
45,-1330069.5524106056,,19.297825574874878,True,29,[],30m_hmm4,70
46,-1735616.7860211586,,24.761856079101562,True,51,[],30m_hmm4,70
44,-1347168.1396003456,,13.357763290405273,True,18,[],30m_hmm4,71
45,-1347196.5332894432,,14.25976300239563,True,18,[],30m_hmm4,71
43,-1347224.0483300376,,31.455204725265503,True,60,[],30m_hmm4,71
42,-1347224.0508421776,,32.15423560142517,True,63,[],30m_hmm4,71
46,-1759750.7639797982,,35.193811655044556,True,74,[],30m_hmm4,71
44,-1362203.615446064,,13.15556001663208,True,18,[],30m_hmm4,72
42,-1362171.5691133672,,13.75007438659668,True,19,[],30m_hmm4,72
43,-1362172.859957704,,14.053616762161255,True,18,[],30m_hmm4,72
45,-1362232.980951987,,16.054344654083252,True,24,[],30m_hmm4,72
46,-1781284.815358588,,28.21536898612976,True,75,[],30m_hmm4,72
44,-1382860.7318313,,17.525413513183594,True,19,[],30m_hmm4,73
43,-1382823.6588499392,,18.72216534614563,True,18,[],30m_hmm4,73
46,-1808412.8717131827,,30.149251222610474,True,47,[],30m_hmm4,73
45,-1808412.8725048332,,30.204648971557617,True,46,[],30m_hmm4,73
42,-1382880.8727727379,,30.93641710281372,True,43,[],30m_hmm4,73
46,-1401151.0784556046,,16.304383039474487,True,18,[],30m_hmm4,74
45,-1401127.0608111075,,17.303080081939697,True,20,[],30m_hmm4,74
42,-1401185.4163445258,,19.884483337402344,True,17,[],30m_hmm4,74
43,-1401213.8119498047,,34.47977924346924,True,52,[],30m_hmm4,74
44,-1401213.8150947134,,39.13901138305664,True,62,[],30m_hmm4,74
45,-1418058.6812309092,,31.847749948501587,True,27,[],30m_hmm4,75
46,-1857701.1164770925,,32.73396325111389,True,48,[],30m_hmm4,75
42,-1429910.7548101705,,38.509483337402344,True,60,[],30m_hmm4,75
43,-1418059.669078169,,44.24398946762085,True,53,[],30m_hmm4,75
44,-1430302.5537503914,,49.78626108169556,True,71,[],30m_hmm4,75
