fold,config,pool_train_rows,n_eligible,fit_time_s,train_auc,oos_fold_auc
31,RF-3,23501,46.0,1.1030337810516357,0.6173946118751962,0.5196078431372548
32,RF-3,23547,299.0,1.1331143379211426,0.6174224838004481,0.6139131225009088
33,RF-3,23846,336.0,1.2716667652130127,0.6188548673116571,0.5601936324706758
34,RF-3,24182,2351.0,1.2411460876464844,0.6176828403236072,0.5256463919773272
35,RF-3,26533,1051.0,1.2250375747680664,0.6119147734122903,0.5566727605118831
36,RF-3,27584,292.0,1.363243818283081,0.6132797042535145,0.4327683615819209
37,RF-3,27876,294.0,1.257615327835083,0.6123235813134258,0.4392542202066012
38,RF-3,28170,1998.0,1.3686790466308594,0.6117927968301476,0.4836218595400335
39,RF-3,30168,714.0,1.3879194259643555,0.6145092467823845,0.558146864166404
40,RF-3,30882,195.0,1.4362454414367676,0.6166321893138605,0.4899300402798389
41,RF-3,31077,120.0,1.4211812019348145,0.6180078856907636,0.45400238948626054
42,RF-3,31197,326.0,1.625476598739624,0.6200556009062708,0.5075932778291705
43,RF-3,31523,2538.0,1.6271147727966309,0.6165883744354324,0.5183848466748332
44,RF-3,34061,165.0,2.5278213024139404,0.6049771233474266,0.3999402628434886
45,RF-3,34226,2834.0,2.072232723236084,0.606420790310174,0.48659080901485124
46,RF-3,37060,2574.0,1.9527454376220703,0.6063193600521001,0.5398072867247281
47,RF-3,39634,2300.0,2.041472911834717,0.6041279854086896,0.49428763440860213
48,RF-3,41934,2056.0,2.066426992416382,0.6045624464781694,0.5626785454897594
49,RF-3,43990,1635.0,2.118320941925049,0.6063402646819709,0.6615648753266893
50,RF-3,45625,2290.0,2.211785078048706,0.60126760936785,0.5448005282334166
51,RF-3,47915,2340.0,2.367426872253418,0.6000001597660843,0.5794600451546489
52,RF-3,50255,2850.0,2.5505826473236084,0.5996202160822155,0.5021807303813457
53,RF-3,53105,1657.0,2.6558918952941895,0.5960505251398049,0.5072648438707346
54,RF-3,54762,2084.0,2.822239398956299,0.5913244195112024,0.4901862612293112
55,RF-3,56846,706.0,2.9056527614593506,0.5921289371705123,0.4631612825361065
56,RF-3,57552,1028.0,3.2444241046905518,0.5926252627388462,0.5082658569500674
57,RF-3,58580,226.0,3.184720993041992,0.5914897492767448,0.5437524481002741
58,RF-3,58806,724.0,3.1199231147766113,0.5917400556488782,0.47947468789326997
59,RF-3,59530,931.0,3.0772299766540527,0.5918373494138909,0.5199152425006233
60,RF-3,60461,1608.0,3.1572647094726562,0.5884358980380783,0.49407726092075116
61,RF-3,62069,717.0,3.2717573642730713,0.5899872615345838,0.525253313765593
62,RF-3,62786,649.0,3.4861900806427,0.5906077623520991,0.4746823404093434
63,RF-3,63435,820.0,3.36607027053833,0.5905674267476351,0.5549843819723338
64,RF-3,64255,330.0,3.4287285804748535,0.5899585900098021,0.3842909467608865
65,RF-3,64585,417.0,3.5091559886932373,0.5891916149432688,0.43290179218395247
66,RF-3,65002,316.0,3.589677095413208,0.5882050189510379,0.47783944658944655
67,RF-3,65318,0.0,3.4763917922973633,0.5880538135953549,
68,RF-3,65318,0.0,3.4920225143432617,0.5880538135953549,
69,RF-3,65318,1212.0,3.503643274307251,0.5880538135953549,0.4508467637385881
